web-scraper-order,web-scraper-start-url,Technology,name,sector,location
"1643580428-4475","https://500.co/companies","SaaS","Formative Labs","Civictech","US"
"1643580428-3961","https://500.co/companies","-","Brella","-","-"
"1643580428-5831","https://500.co/companies","-","Storicity","Travel / Hospitality","South Korea"
"1643580428-4196","https://500.co/companies","SaaS","Curie","Consumer eCom","US"
"1643580428-4751","https://500.co/companies","SaaS","InfuseAI","Developer Tools","Taiwan"
"1643580428-3945","https://500.co/companies","SaaS","Botanalytics","Developer tools","US"
"1643580428-4949","https://500.co/companies","SaaS","Level Family Therapy","Healthcare Services & Telehealth","US"
"1643580428-3805","https://500.co/companies","SaaS","Attitude.ai","Market intel","US"
"1643580428-4471","https://500.co/companies","On-demand / Delivery","FoodA","Human Resources & Recruiting","US"
"1643580428-5043","https://500.co/companies","Mobile","Mediaspike","Gaming / eSports","US"
"1643580428-5162","https://500.co/companies","O2O","MyTime","Consumer services","US"
"1643580428-4464","https://500.co/companies","SaaS","Flye","Market intel","US"
"1643580428-3739","https://500.co/companies","SaaS","AMPAworks","Healthcare ERP","US"
"1643580428-5601","https://500.co/companies","Gaming, FinTech, eSports, Cryptocurrency/Blockchain","Ryu","-","US"
"1643580428-5752","https://500.co/companies","SaaS","So Sure","Insurance","UK"
"1643580428-4870","https://500.co/companies","Marketplace","Kita Bisa","Lending / Investments","Indonesia"
"1643580428-4559","https://500.co/companies","SaaS","Glyder","Market intel","US"
"1643580428-4000","https://500.co/companies","On-demand / Delivery","Cambrian Genomics","Biotech","US"
"1643580428-5909","https://500.co/companies","Marketplace","Taskty","Professional services","Egypt"
"1643580428-4467","https://500.co/companies","SaaS","Focus At Will Labs","Medical advice","US"
"1643580428-5656","https://500.co/companies","On-demand / Delivery","Setter","Housing & Real Estate","Canada"
"1643580428-5405","https://500.co/companies","O2O","Pogoseat","Sports","US"
"1643580428-6069","https://500.co/companies","SaaS","UpCounsel","Legal services","US"
"1643580428-4375","https://500.co/companies","SaaS","ExitRound","Lending / Investments","US"
"1643580428-5338","https://500.co/companies","-","Pencil","Education ERP","US"
"1643580428-5310","https://500.co/companies","O2O","Papaya","Payments","Peru"
"1643580428-4024","https://500.co/companies","Cloud / Content","Carreira Beauty","Social","Brazil"
"1643580428-4954","https://500.co/companies","Big Data, Artificial Intelligence & Machine Learning","Lifemote","IT tools","Turkey"
"1643580428-3993","https://500.co/companies","Mobile","BuyBuddy","Payments","Turkey"
"1643580428-4103","https://500.co/companies","-","CloutJam","-","Canada"
"1643580428-3881","https://500.co/companies","Mobile","Between","Social media","South Korea"
"1643580428-4246","https://500.co/companies","SaaS","Detexian","Security","US"
