web-scraper-order,web-scraper-start-url,Technology,name,sector,location
"1643577115-3448","https://500.co/companies","SaaS","EmployeeSocial","Personnel / Benefits","India"
"1643577115-3521","https://500.co/companies","SaaS","MentorCloud","Professional training","US"
"1643577115-3591","https://500.co/companies","Marketplace","StudySoup","College / Continuing education","US"
"1643577115-3432","https://500.co/companies","SaaS","Cursostotales","College / Continuing education","Peru"
"1643577115-3604","https://500.co/companies","Cloud / Content","TeachStreet","College / Continuing education","US"
"1643577115-3555","https://500.co/companies","O2O","Powercore","Professional services","US"
"1643577115-3559","https://500.co/companies","SaaS","Proven","Recruiting","US"
"1643577115-3504","https://500.co/companies","Cloud / Content","Learnist","College / Continuing education","US"
"1643577115-3548","https://500.co/companies","SaaS","Parlakbirgelecek","Recruiting","Turkey"
"1643577115-3540","https://500.co/companies","SaaS","nurseVersity","Professional training","US"
"1643577115-3580","https://500.co/companies","Direct sale","Simplex","Professional services","Egypt"
"1643577115-3627","https://500.co/companies","On-demand / Delivery","Veduca","College / Continuing education","Brazil"
"1643577115-3524","https://500.co/companies","Cloud / Content","Mision Admision","K-12","Mexico"
"1643577115-3389","https://500.co/companies","SaaS","Alumnify","College / Continuing education","US"
"1643577115-3554","https://500.co/companies","SaaS","Polyup","K-12","US"
"1643577115-3383","https://500.co/companies","Mobile","Admission Table","Recruiting","India"
"1643577115-3433","https://500.co/companies","SaaS","DailyMuse","Recruiting","US"
"1643577115-3598","https://500.co/companies","Marketplace","Tackl","Recruiting","US"
"1643577115-3596","https://500.co/companies","SaaS","Switch","Recruiting","US"
"1643577115-3384","https://500.co/companies","On-demand / Delivery","Airpair","Professional services","US"
"1643577115-3385","https://500.co/companies","Marketplace","Alba","Professional services","Chile"
"1643577115-3569","https://500.co/companies","SaaS","Regulus","Recruiting","Japan"
"1643577115-3595","https://500.co/companies","Marketplace","Swing Education","Education ERP","US"
"1643577115-3410","https://500.co/companies","SaaS","Claim Compass","Legal services","Bulgaria"
"1643577115-3582","https://500.co/companies","Cloud / Content","Skilllane","College / Continuing education","Thailand"
"1643577115-3486","https://500.co/companies","SaaS","Já Entendi","Professional training","Brazil"
"1643577115-3408","https://500.co/companies","SaaS","Charlie","Personnel / Benefits","UK"
"1643577115-3463","https://500.co/companies","SaaS","Getlinks","Human Resources & Recruiting","Thailand"
"1643577115-3520","https://500.co/companies","Mobile","MeMeTales","Early childhood","US"
"1643577115-3438","https://500.co/companies","SaaS","Docket Technologies","Legal services","US"
"1643577115-3475","https://500.co/companies","SaaS","HireArt","Recruiting","US"
"1643577115-3380","https://500.co/companies","On-demand / Delivery","24/7 Techies","Infrastructure","Sri Lanka"
"1643577115-3608","https://500.co/companies","SaaS","Techpear","Recruiting","Norway"
"1643577115-3437","https://500.co/companies","Direct service","Disrupt","Professional training","Thailand"
"1643577115-3444","https://500.co/companies","Cloud / Content, Direct service","EduAdvisor","College / Continuing education","Malaysia"
"1643577115-3392","https://500.co/companies","Marketplace","Assemble","Recruiting","US"
"1643577115-3423","https://500.co/companies","SaaS","Cooleaf","Personnel / Benefits","US"
