web-scraper-order,web-scraper-start-url,title,context,link,link-href,logo-src
"1643576917-3339","https://startupmarket.co/girisimler?sectors%5B0%5D=1&page=3","Workinlot","Workinlot girişimcilik için tasarlanmış bir paylaşım ve deneyim platformudur.","İncele","https://startupmarket.co/workinlot-1","https://startupmarket.co/cache/100x100/upload/images/startup/5ba80a2571129762246498.jpg"
"1643576922-3372","https://startupmarket.co/girisimler?sectors%5B0%5D=1&page=1","Ikarus HR","Yeni Nesil İnsan Kaynakları Çözümleri","İncele","https://startupmarket.co/ikarus-hr","https://startupmarket.co/cache/100x100/upload/images/startup/5fe8e3565d548329755759.jpg"
"1643576919-3343","https://startupmarket.co/girisimler?sectors%5B0%5D=1&page=2","Sorwe","Uçtan uca çalışan deneyimini insan analitiği ile birleştiriyoruz","İncele","https://startupmarket.co/sorwe","https://startupmarket.co/cache/100x100/upload/images/startup/5ecfd4d8eb162206733341.jpg"
"1643576922-3378","https://startupmarket.co/girisimler?sectors%5B0%5D=1&page=1","Kariyervideom.com","Benim Özgeçmişim Yok; Kariyer Videom Var!","İncele","https://startupmarket.co/kariyervideom-com","https://startupmarket.co/cache/100x100/upload/images/startup/5f2173476384c944019097.jpg"
"1643576912-3296","https://startupmarket.co/girisimler?sectors%5B0%5D=1&page=5","Krawl","Helps tech talents to find companies they would love to work.","İncele","https://startupmarket.co/krawl","https://startupmarket.co/cache/100x100/upload/images/startup/5d9e58c19f5ab378481928.jpg"
"1643576922-3367","https://startupmarket.co/girisimler?sectors%5B0%5D=1&page=1","Çalışanın Gözünden","Şirketleri afili sitelerinden değil çalışanın gözünden tanıyın!","İncele","https://startupmarket.co/calisanin-gozunden","https://startupmarket.co/cache/100x100/upload/images/startup/60bbf33f1de2a806739699.jpg"
"1643576922-3366","https://startupmarket.co/girisimler?sectors%5B0%5D=1&page=1","Waggler","Swipe, Match, Work!","İncele","https://startupmarket.co/waggler","https://startupmarket.co/cache/100x100/upload/images/startup/6127a87f37cf6193074869.jpg"
"1643576914-3311","https://startupmarket.co/girisimler?sectors%5B0%5D=1&page=4","Mentornity","Kurumsal gelişim ve mentorluk programları için yönetim sistemi.","İncele","https://startupmarket.co/mentornity","https://startupmarket.co/cache/100x100/upload/images/startup/5ac5f64aa0c25359519265.jpg"
"1643576912-3292","https://startupmarket.co/girisimler?sectors%5B0%5D=1&page=5","NeGibi Sosyal İçerik Paylaşım Platformu","NeGibi","İncele","https://startupmarket.co/negibi-sosyal-icerik-paylasim-platformu","https://startupmarket.co/cache/100x100/upload/images/startup/5f33fec4e8c1f027466630.jpg"
"1643576919-3345","https://startupmarket.co/girisimler?sectors%5B0%5D=1&page=2","Starters' Agency","işiniz için en uygun freelancerlar","İncele","https://startupmarket.co/starters-agency","https://startupmarket.co/cache/100x100/upload/images/startup/5eb472d0e0c3c145962215.jpg"
"1643576912-3301","https://startupmarket.co/girisimler?sectors%5B0%5D=1&page=5","Trend Giyim","Herkez en guzelini en ucuza sahip olmak zorunda..","İncele","https://startupmarket.co/trend-giyim","https://startupmarket.co/cache/100x100/upload/images/startup/5c08f44402883289196528.jpg"
"1643576922-3373","https://startupmarket.co/girisimler?sectors%5B0%5D=1&page=1","Smarthronline","Find a logistics job you love.","İncele","https://startupmarket.co/smarthronline","https://startupmarket.co/cache/100x100/upload/images/startup/5fc905cb1cfd2964374955.jpg"
