web-scraper-order,web-scraper-start-url,title,location,employee_count,industries,context
"1643569181-3179","https://builtin.com/companies/type/hr-tech-companies?page=6","ePATHUSA, Inc.","WDM, IA","36 Global Employees","Cloud
      
        HR Tech
      
        Information Technology
      
        Software","ePATHUSA was founded in 2005 as a global software consulting and outsourcing company of the highest standard. Always reliable, we provide strategic counsel and managed services to federal, state, commercial, and nonprofit entities.

The always accelerating change in technology challenges companions to adapt - requiring constant modernization to maintain relevance. We proudly help organizations do just that. Our diverse, expertly skilled team assesses and implements cutting-edge technologies most beneficial to achieve client’s needs and goals."
"1643569197-3243","https://builtin.com/companies/type/hr-tech-companies?page=3","PickTrace","Glendale, CA","40 Global Employees","Food
      
        HR Tech
      
        Payments
      
        Software","PickTrace offers workforce & harvest management solutions for enterprise farms. We're building the agricultural management system of the future, with unparalleled user empathy in an industry underserved by tech. Our SaaS product serves the world's largest berry, citrus, and apple growers and is used by tens of thousands of farmworkers each day."
"1643569206-3282","https://builtin.com/companies/type/hr-tech-companies?page=1","Greenhouse Software","Denver, CO","382 Global Employees","HR Tech
      
        Software","Greenhouse is the hiring software company. More than an ATS, we help businesses be great at hiring through our powerful philosophy, complete suite of software and services, and large partner ecosystem - so businesses can hire for what's next."
"1643569181-3181","https://builtin.com/companies/type/hr-tech-companies?page=6","Workday","3 Offices","14,894 Global Employees","Cloud
      
        Fintech
      
        HR Tech","Workday is a leading provider of enterprise cloud applications for finance, HR, and planning. Founded in 2005, Workday delivers financial management, human capital management, and analytics applications designed for the world’s largest companies, educational institutions, and government agencies. Organizations ranging from medium-sized businesses to Fortune 50 enterprises have selected Workday."
"1643569164-3102","https://builtin.com/companies/type/hr-tech-companies?page=10","Cooleaf","Atlanta, Georgia","15 Global Employees","HR Tech
      
        Software","Smarter employee engagement, recognition and incentives"
"1643569177-3155","https://builtin.com/companies/type/hr-tech-companies?page=7","Asure Software","Austin, TX","436 Global Employees","HR Tech
      
        Payments","Asure (NASDAQ: ASUR) sees Human Capital Management (HCM) through the lens of entrepreneurs and executives with an owner’s mentality. We help more than 60,000 small and mid-sized businesses develop their “Human Capital” to get to the next level, stay compliant, and allocate their time, money and technology toward growth. Asure HCM solution includes Asure Payroll & Tax, Asure HR, and Asure Time & Attendance. Our Asure HRServices offering ranges from online compliance tools to a fully outsourced HR department."
"1643569164-3108","https://builtin.com/companies/type/hr-tech-companies?page=10","Optima Consulting","Philadelphia, PA","13 Global Employees","HR Tech","We provide SAP consulting, strategy, design, implementation, and the management of large-scale enterprise CMS. SAP Gold Partner."
"1643569197-3247","https://builtin.com/companies/type/hr-tech-companies?page=3","Karat","Seattle, WA","150 Global Employees","HR Tech
      
        Productivity
      
        Professional Services
      
        Software","The status quo for technical interviewing doesn’t meet the needs of candidates or hiring companies. Haphazard interview experiences, subjective evaluations, and lack of capacity and expertise mean too many companies miss their hiring goals and miss out on great software engineers. At Karat, it's our mission to create better outcomes for companies and candidates by making every interview predictive, fair, and enjoyable.  

Karat conducts first-round technical interviews on behalf of companies including Indeed, Atlassian, Intuit, Peloton, The New York Times and Wayfair. We do this through a community of Interview Engineers who are equipped with Karat's interviewing platform, battle-tested questions, and data-informed best practices. 

The result is highly predictive and fair interviews at scale that candidates truly enjoy. Karat has amassed the largest and most robust dataset of structured interview intelligence to produce never-before-seen hiring analytics. 

As the world continues to transition to virtual work, and the fairness of hiring practices in the tech industry come under greater scrutiny, Karat is uniquely positioned to be a valuable, strategic partner as companies transition to 100% remote hiring."
"1643569192-3224","https://builtin.com/companies/type/hr-tech-companies?page=4","ThreeFlow","Fully Remote","83 Global Employees","Enterprise Web
      
        HR Tech
      
        Information Technology
      
        Software","ThreeFlow is the first Benefits Placement System, a new category of enterprise software that allows brokers and carriers to manage the entire placement process in one shared system. We make it easier for carriers to win business and brokers to empower employers with the details they need to make better benefits decisions. By connecting people, systems, and information, we enable easier communication, a quicker process, and better decisions making busy people more productive."
"1643569177-3167","https://builtin.com/companies/type/hr-tech-companies?page=7","PreCheck, Inc.","Houston, Texas","160 Global Employees","HR Tech","PreCheck offers healthcare specific background screening and ongoing monitoring solutions tailored to fit your healthcare organization."
"1643569177-3161","https://builtin.com/companies/type/hr-tech-companies?page=7","CEIPAL","Rochester, NY","290 Global Employees","HR Tech
      
        Software","CEIPAL is an integrated Cloud HCM solution delivers in a single platform from hiring to workforce collaboration from anywhere anytime."
"1643569164-3101","https://builtin.com/companies/type/hr-tech-companies?page=10","TRIBE","Nationwide","3 Global Employees","AdTech
      
        HR Tech
      
        Marketing Tech","First smart marketplace matching businesses with digital marketing talents, teams & tools."
"1643569206-3287","https://builtin.com/companies/type/hr-tech-companies?page=1","ChartHop","Fully Remote","60 Global Employees","HR Tech","ChartHop delivers a fresh take on People Analytics, bringing disparate sources of people data together in a dynamic platform that’s visual and actionable. Unlike legacy People Analytics solutions, ChartHop is designed to be used by the whole organization. This helps companies improve organizational health, drive alignment and accountability, and save time and money. 

ChartHop plays well with dozens of platforms through robust integrations across the HR tech stack, and serves companies like BetterCloud, Lightspeed, Starburst and InVision. ChartHop was founded in 2019 by Ian White and is backed by Andreessen Horowitz."
"1643569197-3248","https://builtin.com/companies/type/hr-tech-companies?page=3","Northstar","Fully Remote","35 Global Employees","Fintech
      
        HR Tech
      
        Software","We're making it easy for everyone to access affordable, personalized financial advice. We believe financial wellness starts with a single paycheck. That's why we're working with leading companies to provide 1-on-1 financial advisors and personal finance tools as an employee benefit. Northstar helps employees make the most of their compensation and helps companies support diverse teams."
"1643569192-3228","https://builtin.com/companies/type/hr-tech-companies?page=4","Homebase","6 Offices","338 Global Employees","HR Tech
      
        Software","Homebase makes work easier for 100,000+ small (but mighty) businesses with everything they need to manage an hourly team: employee scheduling, time clocks, payroll, team communication, hiring, onboarding, and compliance. Just don’t call us “Human Capital Management.” We’re tools built for the busiest businesses, so owners and employees can spend less time on bullsh*t and more time on what matters. 

Inc Magazine Best in Business 2020 Gold Medal Winner
Top Rated Time Clock and Scheduling Software by Motley Fool's The Blueprint"
